Product Name,Price
ALKHIDMAT RAAZI HOSPITAL,0514906114
Fitnes Fiesta pro,0512340399
IPack Movers,03211115599
EMQ Power LPG Network SMC Pvt Limited,0304 1113670
Gharbaar,+92 8746137
Service Square,+92 (309) 555-6777
Falcon Express Pvt ltd.,051 111 786 280
ZameenLeLo.com,03365449092
Khan Generators,(051) 2227675
Fatima Travels,0518433347
MedCity International Hospital & Plastic Surgery,(051) 2817233
,
YeGhar Private Limited,051-8351838
Escorts Services,0320-1110033
TMR Consulting (Pvt.) Ltd.,+92514938395-6
Secure My Place,+92 (0)51 8485885
IOT Technology,0331 5958730
Hair Transplant Treatment in islamabad,0512656491
Dynamiclinic.com.pk,0512656491
Dr Ak’s Cosmetic Surgery,0333 5967916
Pakistan Youth Hostels Association,0512825427
"SingleWebSolution – Web Hosting provider in Islamabad, Pakistan",03315591502
Gharbaar.com,03411100808
Jasmine Tours,0333 5109753
BOUTIQUE HOMES ISLAMABAD,03468505408
HA Technologies,+92 334 8737 097
Yeh Pos Restaurants,051-8356632
Ipal clinic,03348737097
Oranje Click,+92 321 5310312
Sanios Spa,03348737097
Turkey tours,051111786785
web development company in Pakistan,0518743565
Media Edge,03325540400
WebXell Technologies,03005356211
Gulberg Greens,+923067341682
Haris Enterprises (Pvt.) Ltd,(051) 111 627 427
Pk Tour planner,+923118804411
Pk Tour planner,03118804411
CHASE TRADING & TECHNOLOGY,0515154638
Best glasses Company,03215007567
Razors & Scissors – Men’s Grooming Lounge,+923243309082
Hazara Pool System,03175002631
Happy Holidays PK,03335766422
Royal Taxi,03454377599
Bookirea Events,0518466686
Metropolitan School and Colleges,03339620535
DinePartner,0518466686
Orgocare,051-8350295
Rent a Car Islamabad,03335466143
AEO Pakistan,0301-8567776
Graana,111-555-555
Prof. Dr Ikram Ullah Khan Dermatologist,051 2211779
The Aquatic Mall,0335-111-555-1
YourCar,0300-5404746
Cloud Villas,03481115505
daewoo express blue area,03335441119
MODERN COMMUNICATIONS,03335412329
Hunza Guides Pakistan,+92 51 222 4253
Usamasilk,03147599397
Arafat Hajj Umrah,03319894959
UK MBA Assignment writing services Sparkles Soft Dissertation writing services Sparkles Soft Essay writing services,00923004604250
Whinstone,(+92)51-8731327
Palmiye Kocak Furniture,+92512261175
Vital Security (Pvt) Ltd,"051-2212920, 03335563179"
seo training,03338801930
Dar ul Quran institute,03327666066
Kordeva,(+92)51-8731327
Pakistani Newspapers,+92 51 2279267
Youmobile Pakistan,03345955551
Online Classes-Online Home Tuition-Online Tutoring in Pakistan,051111888888
Online Education-Tutoring in Pakistan| Learning Bytes,051111888888
Petroleum Training Academy Limited,0514447325
Ace American Institute of English,03335335792
Nisar Printers,03165187116
Montana Viaje (Travel & Tours),+92 332 4443123 / +92 333 5593502 / +92 345 1355551
Pk Dealers,03326444555
Malakand Host Software and Web Solutions Islamabad,03109552994
Distance learning in pakistan universities,+923115191387
Eastern Dresses,+923215009385
Get Quality FUE Hair Transplant,0512287661
Elite Aesthetics & Hair Transplant,+92 349-9000700
Foodnerd,051) 4858394
Nauman Khalid | Documentary Film Maker,+92 333 5204 939
jobs in pakistan bank,+923115191387
"Heal Islam – Remedies for Evil Eye, Magic, Jinn Possession",03331524670
SK Movers and Packers,03155729598
Eventoxs,+92518738348
Hybrid Mediaworks,+92 333-3339965
Solutions Provider,+92-333-3360002
TABA Travel & TOURS,0332 3363882
Waqas Travel and Tours,(051) 111 111 380
MNM Travel & Tours Pvt Ltd,966 50 543 5949
HYK travel and tours,(051) 2604336
Tourplanner.pk,0331 8483626
Lets Fly Travel & Tours,92-51-2805259
Travel lines and Tours,(051) 2870929
Delma Travel & Tours,(051) 2363854
Neelum Travel and Tours,0355 8111451
new bilal travels,(051) 5770110
Dunya Travels Islamabad Office,0333 4171775 i
Aziz Sons Travel & Tours,(051) 2801021
Kashgar Travel & Tours,(051) 2604342
Sastaticket.pk Islamabad,(021) 111 172 782
Benz Trave,(051) 2803184
Elysian Travels (Pvt.) Ltd,(051) 2278059
UNITED Pakistan Tours,0336 2470247
A.M.S Travel & Tours,0321 9554777
Al Masar Travel and Tourism Co.,922132237271
ZIWA TRAVEL & TOURS,0334 3776829
Eman Travel & Tours,0336 5365499
RCI Rent A Car Islamabad,03335466143
Cosmos Holidays Travel & Tours,051-512348184
SCM Office Interiors,00923015551511
Harmain Travels Islamabad,0312 5850300
Tolo Travel and Tours,(051) 2103661
Royal Airport Services – Travel Wing,(051) 2810114
Discover Pakistan Tours,0323 5459876
Rehman Travels,"92-51-111-786-785,"
Sonya Southern Travel Network,0800 766 92
Askari Travels & Tours,(051) 2270560
"Flair | Travel Management, Visa Express & Translations",(051) 2601658
Ibne Batoota Travel & Tours,0333 5539913
O.S Travel & Tours,: 0333 5542877
Saiyah Travels & Tours,(051) 4861231
Baqir Travel & Tours (Pvt) Ltd,(051) 2347109
"Silverline Travel & Tours (Hajj, Umrah, Holidays and Travel Services)",051) 2871717
"Skymate Travel & Holidays, Islamabad",(051) 5170527
Vision Travels,(051) 2270314
Binham Travel Services,(051) 4575771
Air Club Travels,(92-51)2871451-2
Menaal International Travel and Tours,0300 8558119
O.S Travel & Tours,(051) 2805570
FCM TRAVEL SOLUTIONS ISLSMABAD,0335 3766500
Paramount Travels,(051) 2876051
Trekking In Pakistan- Adventure Tours Pakistan,(051) 2260820
Falcon Adventure Club,(051) 8449461
Cool Travels,0332 5008130
Adnan Tours & Travels Pakistan,(051) 2285839
Oasis Travels Pvt Ltd,(051) 111 287 287
Carlson Wagonlit Travel,(051) 111 747 111
Tanawal Travels,0314 5098595
Lets Travel & Tours,0300 9506293
Short Hajj Umrah Packages – Cheapest Umrah Packages from Pakistan,0332 5441277
PTDC Motels Reservation Office,(051) 9208949
Lets Go Travels & Tours,(051) 2374818
M.I.Qureshi Travel Services,0340 5909055
The Innovators Travel & Tours,(051) 2342444
Aayra Travel &Tours Private Limited,051) 8733089
Hunza Explorers,0321 4364658
Flair Travel,0345 5218856
AL Najd Hajj Services Pvt.Ltd,0316 5106901
Safeer Travels,968 24 699470
AK International Travels & Tours,0995) 611520
Capital Travels Services,051) 2803127
AHBAB TRAVEL & TOURS,(051) 2342210
Trip Travel,(051) 2608553
Gulzar Travels and Tours (Pvt) Ltd : Umrah Packages with Air Ticket 2017,0332 5441277
GH Travel & Tours,(051) 2801116
Travel House,(051) 2805201
"Tours to Pakistan, Tourism in Pakistan",321 4364658
One Call Travels,(051) 2604651
Motorway Express,(051) 2282626
Akhtar Travel & Tours,(051) 2348011
Air Gateway Travel & Tours – Islamabad Pakistan,0335 5591888
Jamal Sons Travels & Tours,(051) 2810161
Bukhari Travel Services,051) 2276076
Taqwa Hajj & Umrah Services,(051) 5512087
Sandwell Travel Ltd,(051) 2228022
Maryam Travel & Tours,(051) 2604731
Matchless Travels International,(051) 2604842
Air Gateway Travel & Tours – Islamabad Pakistan,0335 5591888
Stanley Travel Pvt Ltd,0345 8526152
Al Tehamah Hajj & Umrah Services Pvt Ltd,(051) 4938014
Landmark Travel Management,051) 2814134
Karakorum Explorers,(051) 4441258
Fly High Travel & Tour,(051) 5194211
Ara Holidays Blue Area Islamabad Pakistan,(051) 2347172
Pakistan International Travels & Tours (Pvt) Ltd,(051) 2802138
Kate International Travel & Tours PVT LTD,(051) 2870945
European Tour Islamabad Pakistan,0334 1510318
Internik (The Consultant),(051) 5400306
Zinn Tours & Car Rental Services,(051) 2260957
Discover Pakistan Tours,0323 5459876
Chahal Travels,(051) 8435189
Destiny Holiday Planners (PVT) Ltd.,051) 2810051
Elixir Hair Transplant Surgery Clinic,03009055660
5 STAR INSTITUTE ISLAMABAD,03445000120
Al-Nawaz Memorial Homeo Clinic,0300-0987968
Anti Fire & Security Solutions,03150008009
Anti Fire & Security Solutions,03150008009
Express Movers,03005121563
Bonanza | Satrangi,(021)111-244-266
Din Lifestyle,03077778451
Fortress Islamabad,(051) 5353151
Qatar Airways,+92 51 2201 981
Falah-e-Insaniat Foundation,042-37230550
Maria.B,+92 42 3575 3838
Capital City Lahore,0300-0505762
Maira Khan – Designer & Bridal Dresses Store,+92 308 2666344
Cloud Servers Pvt Ltd,+92-51-2894600
Khaadi,+92 21 35835472
Sapphire,+92(042) 111-738-245
AM Associates,+92-51-2323236
Salaar Estate,+92-51-2312166
Oriel Associates,03335100707
Pakistan Railways,(042) 99201738
Sultan’s Construction & Real Estate Consultants,+92-300-8500306
Hi Links Estate and Builders,+92-3009502725
EM EN Associates,+92-333-5327032
ASB Enterprices,+92-333-5440205
Pak Real Estate & Builders,+92-3335985444
Al Taqwa Property Advisor And Builders,+92-3345350292
Soban Estate,+92-300-5314029
Al-Ghous Real Estate,+92-304-5405689
Concept Realty & Marketing,+92-333-5186519
Fair Deal,+92-300-5016086
Estate Affairs,+92-345-0451080
Benchmark Realty Pvt. Ltd.,+92-322-5030511
Gulf Properties,+92-331-6999923
Value Investments,+92-3465805478
AL-Muhammad Properties,+92-3358021512
Patiala Associates,+92-300-8501014
KPK Property Advisor,+92-3335664452
Fatima Associate,+92-3005937777
Check in Property,+92-332-5478813
5G Properties,+92-3337777703
Sidra Estate & Builders,+92-3009758100
Al Haroon Associates,+92-333-5196995
Al Hameed Associates,0300 0444547
MSolutions,+(92) 51-281 3011
MINTPRO,0322 5141313
Chaudhary Abid Majeed Advocate,+92-323-2227444
MAC Estate & Builders,0300 5055711
Pace Rent A Car,+92 (320) 4444-539
Property Enclave Consultant and Builders,+92-51-2809606
Garrison Estate Nexus,(042) 111 200 500
AL Rehman Property,+92-51-2104354
Musa Associates,0333 4393997
Emaan Real Estate & Builders,+92-332-1021021
AIM Real Estate Consultants,+92-333-5949136
Manahil Estate,+92-3343076813
RK Enterprises,0334 5380952
Zorje Private Limited,+92-321-5111117
AL-Hafeez Associates,+92-344-70-70-900
Executive Associates,0310 7777747
CURRENTAGE ASSOCIATES,051-2211640
Aaliyan Enterprises,+92-3005380505
Roshni Business Point Real State Estate & Builders,0333 5723271
Hearts International Hospital,+92-51-5510999
NORI Hospital,+92 51 9260611
SALMA AND KAFEEL MEDICAL CENTRE,+92-51-2655512
Amanat Eye Hospital,051 843 9993
Capital Hospital,+92-51-9221334
Al-Ain International Specialist Eye Hospital,+92-51-2350223
Medicsi Islamabad,051-111-111-125
Quaid-e-Azam International Hospital (QIH),(051) 8449100
Shifa International Hospitals,(051) 8463000
Ali Medical Centre,(051) 8090200
Kulsum International Hospital,+92-51-8446666
Maroof International Hospital,+92-51-111-644-911
The Right Software Pvt Ltd,(051) 4938304
RCI Motors Rent a Car Services,0333 5385247
Australian Concept Infertility Medical Centers,+92-51-2355391
WRITERS – Best Writing Services,0313 6363496
Delta Packers & Movers,0304 4629309
Delta Packers & Movers,0304 4629309
Xpress Aviation,+92 42 3571 5661
Xpress Aviation,+92 42 3571 5661
Wings Logistics,+92 51 8440010
Wings Logistics,+92 51 8440010
TransAsia Shipping Agency,+92-51-2290713
TransAsia Shipping Agency,+92-51-2290713
Shelozon Movers Packers & Logistics (Pvt) Ltd.,051 8437971
Security Packers,+92-51-4432171
Quick Packers & Movers,+92-51-2102078
Classic Movers & Logistics (Pvt) Ltd.,+92-51-2271577
BNS Logistic,(+9251) 5599819
Green Packers and Movers,+92 51 2553317
Green Packers and Movers,+92 51 2553317
Aazan Logistics,+92-51-8357353
Aazan Logistics,+92-51-8357353
Burraq Movers & Freight International,+92-51-2810026
Port Link International Services – Islamabad,+92-51-2362959
Global Executive Movers – Islamabad,+92 51-2355663
Executive Packers and Movers,+92-51-2351060
Pizza Hut,111-241-241
Usmania Restaurant Islamabad,051-2872535
Agora Restaurant,+92-51-2228535
The Healthy Bytes,+92-51-2228423
Ajwa Grill,+92-51-2575516
Arabian Cafe 3 Islamabad,05-14861090
Bangaleez Restaurant,+92-51-2228422
Blemhem Restaurant,+92-346-5083077
Captain Cook’s Islamabad,(051) 2650208
Clique Cafe,(051) 2608965
Soul at Lush – Islamabad,051-2651070
Wang Fu – Blue AreaWang fu Chinese Restaurant,(051) 2348210
Silk Packers & Movers,+9251-2355470
Silk Packers & Movers,+9251-2355470
Tranship Packers & Movers,051-4101819
Express Movers – Islamabad,+92-51-4100988
Marshall Packers & Movers – Islamabad,051-2291749
Marshall Packers & Movers – Islamabad,051-2291749
Honey Bee Cafe,(051) 2222802
Black Olive Restaurant,051-4862412-3
Crispo Hut Restaurant,(051) 2107776
Manhattan Seafood & Steak House,051-2831341-3
La Montana Restaurant,051-2898226
Chocolate Cafe Islamabad,0320 5550003
Coffee Planet F11,(051) 2228322
Table Talk Café,(051) 2271927
Pizzano Pizza and Fast Food,051-2223800
Little Asia Restaurant,051 2272435
1969 and Time Goes On,0331 5551969
Des Pardes Restaurant,051-2320 008-9
Pizza Originale,051 8734005-6
Z Dental Studio,0345 5336999
The Right Software,0336 4464320
Brothers International Travels,+92-51-2874690
Bonita Travels & Tours (Pvt) Ltd.,+92-51-2814298
Bonita Travels & Tours (Pvt) Ltd.,+92-51-2814298
Beacon Travel Bureau,0333-5158944
Baqir Travels & Tours (Pvt) Ltd.,+92-51-2347109
Baqir Travels & Tours (Pvt) Ltd.,+92-51-2347109
Al-Noor International Travel & Tours,+92-51-2342056
Al-Noor International Travel & Tours,+92-51-2342056
Al-Murtaza Travel & Tours,+92-51-2801049
Al-Murtaza Travel & Tours,+92-51-2801049
Al-Harmain Travels & Tourism (Pvt) Ltd.,051-2342521-3
Al-Harmain Travels & Tourism (Pvt) Ltd., 051-2342521-3
Al-Ahbab Haj Group (Pvt) Ltd.,+92-51-2805048
Akhtar Travel & Tours,+92-51-2348011
Akhtar Travel & Tours,+92-51-2348011
Air Blue (Pvt) Ltd.,+92-51-111247258
Air Pasban International,+92-51-2342260
Air International Travel Services,+92-51-2873122
Ahmed Almomin Services (Pvt) Ltd.,+92-51-2342093
Ahbab Travels & Tours,+92-51-2342208
Ahbab Travels & Tours,+92-51-2342208
Aero Ways Travel & Tours,+92-51-2806361
Aero Ways Travel & Tours,+92-51-2806361
Aazib Travels & Tours,+92-51-2801342
Aazib Travels & Tours,+92-51-2801342
A.S Travels,+92-51-2872272
Premier Travel & Tours,+92-51-2818466
Premier Travel & Tours,+92-51-2818466
Sonya Southern Travel Network,+92-51- 2810184
SILK LOGISTICS PAKISTAN,92-321-5872261
PAK CAR RENTALS,0342 0222262
Bestways Travels,(051)-556-5306 & 0321-8549992
Pakistan Tour and Travel,+92 312 5120590 & 0335 5577443
Allenora Annie Signature Salon Islamabad,0347-7776667 & 0333-5999572
Neelam Beauty Salon,051-2290185 & 0335-0308228
Faiza’s,051-2353572 & 051-2351216 & 0335 0308228
Nikhar Beauty saloon,051-4427324
Magic Mirror Salon,051-5734254 & 0300-9753097
Hina Beauty Salon,0300-5284398
Daniellas Signature Salon,051-2653388 & 0335-0308228
Rubicon (ISSB Preparation)- Islamabad,"0334-5422606 , 0346-9236262 , 0312-9307188"
Saadias Beauty Salon,051-2293010 & 0334 -5283200
Shuaa Beauty Salon,051-4847878 &  0333-5556578
Michael K. Salon,051 265 6463 & 0303 589 2134
The Grooming Lounge,+92-51 8737334  & +92-51 8737336
Sobia’s Salon & Studio,"92-51-2655166, +92-51-2655188"
Sobia’s Salon & Studio,"92-51-2655166, +92-51-2655188"
The Dental Consultants,"051 835 0000   ,   051 265 5055"
Smile Zone Dental Centre,"0333-8556920, 0346-5326597"
PERFECT SMILE DENTAL CLINIC,"+92 51 2214513 ,+92 51 2214513, 2809559, 2211415,  03125120089"
Tooth Architects,051-2871727    Cell   :    0345-5910360
Eversmile Dental Care,051-8732809 Cell : 0334-5080923
Dr. Rubina & Associates,"051-2375313  , Cell: 0331-5566256, 0334-5132910 "
Dr. Rubina & Associates,"051-2375313  , Cell: 0331-5566256, 0334-5132910"
Dr. Munaaf’s Dental Practice,"+92-51-8466166, 2655772 , 0344-5111122 , 0314-5326969"
Amcolian Dental Care,"0333-5550971  ,  0300-5550971"
Dr.Ahmed Kabir- Orthodontic & Laser Dental Associates,"+92-51 2213886 , +92 321 5018854 , 0321-5018854 | 0300-5244689"
Dr.Ahmed Kabir- Orthodontic & Laser Dental Associates,"+92-51 2213886 , +92 321 5018854 , 0321-5018854 | 0300-5244689"
The Dental clinic,"+92-51-2351130 | 051-2353592 , 	+92-311-8556661"
Tooth & Teeth,"Phone :+92 051 2228051, 051 2228052 , 0304-111-999-1"
Tooth & Teeth,"Phone :+92 051 2228051, 051 2228052 , 0304-111-999-1"
Comfort Cottage Guest House,051- 2375288/ 2375366-77
Dr.Abrar & Associates Dental Surgeon,+92-51-2287691 | 2287692
Dr.Abrar & Associates Dental Surgeon,+92-51-2287691 | 2287692
Irfan & Aena’s Gentle Dental Care,051-2100742 Mobile :+92-300-5245742
Irfan & Aena’s Gentle Dental Care,051-2100742 Mobile :+92-300-5245742
Multitech Systems,051-4101205-7
Al Bilal POtohwar Goods Farwarding,514444833
iPackers Movers,"051 2803211, Cell 0333 8402999"
Penflux,+923085200445
Capital Solutions,051-4446640
SK Movers,0315 5729598
AK Meadows | Restaurant & Guest House,0347-5132323
AK Meadows | Restaurant & Guest House,0347-5132323
Power Zone Engineering & Services,051-2299017
Power Zone Engineering & Services,051-2299017
TRAVEL DESTINATIONS,"(92 51) 2801117, 2801118"
KARAKORUM ADVENTURE (WHERE ADVENTURE BEGINS),"(92 51) 4864600, 4864531"
SMART AVIATION TRAVEL & TOURS,"(92 51) 2278229, 2875734, UAN: (92 51) 111-111-101"
MUDASSAR & ASSOCIATES,0321-8402126
MUDASSAR & ASSOCIATES,0321-8402126
,
Falcon Express Pvt. Ltd,+92 51 2805560-65
Technology Tracks,051-2344053
DIGITAL SECURITY NETWORK,514440771
Federal Law House Islamabad,051-2252887
Master House,051-5709123
Esource,3455551575
Oxford Home Study College,4.41866E+11
Josh and Mak International,518442922
Karakorum Expeditions,92515402198
Multi Choice,4938267
Accrete International (SMC-Private) Limited,-4860998
Smart Homes,3335240500
BRIXX International (Pvt) Ltd,111-127-499
Intercommunication Security System (Pvt) Ltd,051-4100720
O.S Travel & Tours,051-2805570
O.S Travel & Tours,051-2805570
Ahmed Foods,3405741479
ICEPT,0331-4442378
Margalla Packages Islamabad,051-4448811
HEP INTERNATIONAL,+92 (051) 2099156
JAPAN TYRES,051-2275000
Apna Medical Store,3055777786
M.R TRAVELS BATKHELA,02132-410241
Gillani Estate & Builders,923335237398
Ehsan foods,051 5535344
The Dental Care Clinic,923334595552
Matriks Academy,0300 0161581
Arshad Sajjad Advertiser,923215555449
,
Massage Service,3325600000
AS Advertisers & Engineer works,3337650695
Federal Law Book House,051-2252887
EIES (Electrical Instrumentation & Engineering |Se,92515209297
Hassaan Dental Clinic,515709090
Combine Engineering,512612048
E&H associates,3429444123
star travel & tour,512604828
Alvi Transport,051 2803070
Govt Degree College Chilas,5812450450
Mughal Law Associates,923005137471
,
Horizon Teletech Innovations (Pvt) Ltd.,-2224837
STM LOGISTICS,+92 51-2806332
AsiaSoft,515464223
VIEW COM ISLAMABAD,051-4440771
PakTurk International Schools & Colleges,92514442713
ZUBAIR ASSOCIATES,051-2360289
ASK Development Pvt. Ltd.,+92 51 2353011-13
Early Learners daycare/pre school,51
Sadaat Electrical Services,3125297339
"Nature Tourism Services, Tours and Travels",-385393
Sarimad security services pvt ltd,048-3768454
Peckers and Movers,92-51-2102078
Al-Hanan Construction,512306551
,
Islamabad Car Rental,3415000879
Land Advisor,051-5400009
Quality Control Services,92512303112
SOLARNOW,051 2821654
,
PropertyDwell,512817173
Aneels Hair Transplant,051-2275515
LAL TECH,9.23333E+11
Geo-Tech Consultancy Services,051-5166707
Shahid Electronics And repairing Centre (serc.pk),514864737
Aafaq Family Law Associates,3105259326
Zamzam Travels,3235152000
Eagle Travels & Tours,3235145250
Alam Garden Management & Services,512280400
Federal Car Care Workshop,512323109
USJ Recruitment Agency,514862369
Mellow Media & Marketing,512156059
A-1 Traders,0333 5872699
Care N Cure Medical & Dental Clinic,051-2223870 Mobile : 0310-5929785
Care N Cure Medical & Dental Clinic,051-2223870 Mobile : 0310-5929785
